155A;7 DE DEZEMBRO
180L;MINUANO VIA URLANDIA E SANTOS
180S;MINUANO VIA FRIGORIFICO DUARTE
180A;MINUANO TOMAZETTI
180D;MINUANO DORES
180Y;MINUANO PARQUE DOM ANTONIO REIS
180T;MINUANO VIA ESCOLA REINALDO COZER
0221;NONOAI
221A;NONOAI OTAO
221B;NONOAI CERRITO
221T;NONOAI CERRITO TERRA NOVA
221F;NONOAI CENTRO MEDICO
221C;NONOAI CENTRO MEDICO
144;Norte - Salgado Filho - Acampamento
154U;ULBRA
154A;FERREIRA
154B;VIA RUA RIO BRANCO
154C;PARQUE PINHEIRO MACHADO
154E;VIA PRESIDENTE VARGAS
154C;PARQUE PINHEIRO MACHADO
154F;PARQUE PINHEIRO MACHADO RINCAO DOS BASTOS
154N;PARQUE PINHEIRO MACHADO VIA CIRIANO
154Q;PARQUE PINHEIRO MACHADO RINCAO DOS BASTOS
154P;PARQUE PINHEIRO MACHADO VIA CIPRIANO DA ROCHA E JOKEI
